representative_area,point_name,latitude_deg_n,longitude_deg_e
Baghdad,Baghdad International Airport,33.2625,44.2342
Basra,Basra International Airport,30.5502,47.6606
Nineveh,Wardiya,36.337806,41.6399
Najaf,Najaf International Airport,31.9902,44.4044
Anbar,Haditha,34.2,42.48
Salah al-Din,Tikrit,34.6215,43.6268
Kirkuk,Kirkuk International Airport,35.474,44.349
Diyala,Kanaan District,33.72,44.88
Wasit,Al-Kut Military Airport,32.4844,45.7533
Babylon,Al-Kifl,32.22,44.28
Karbala,Karbala,32.55,43.97
Muthanna,Ad Darraji,31.13,45.63
Dhi Qar,Nasiriyah International Airport,30.9328,46.085
Qadisiyyah,Al-Noriyah District,31.9,44.78
Maysan,Chalat,32.52,46.85
