family,source_id,training_scope,horizon,evaluation_scope,metric,patchtst_metric,lstm_metric,delta_patch_minus_lstm,relative_delta_pct_of_lstm,ci95_lower,ci95_upper,bootstrap_probability_patch_better,bootstrap_probability_lstm_better,dm_hln_statistic,dm_p_raw,dm_days,dm_p_holm,ci_excludes_zero,strong_support,favored_model,history_metric,cold_metric,delta_history_minus_cold,bootstrap_ci_low,bootstrap_ci_high,bootstrap_reps,bootstrap_block_days,dm_hln_stat,dm_daily_n,dm_hac_lag_days,dm_h_days,daytype,scope_type,scope,effect_sign,favored_by_point_estimate,delta_patchtst_minus_lstm,improvement_pct_vs_lstm,comparison,holm_family_size,adapted_metric,zero_shot_metric,delta_adapted_minus_zero,improvement_pct_vs_zero,budget
Direct PatchTST vs LSTM,Direct_Stats_v1_1,global,24,daylight,RMSE,0.08505820816381644,0.08010437877396048,0.00495382938985596,6.184217973694967,0.0033248938081281176,0.006587423685804013,0.0,1.0,5.1721566866006015,3.0068632912894727e-07,717,1.202745316515789e-06,True,True,LSTM,,,,,,,,,,,,,,,,,,,,,,,,,
Direct PatchTST vs LSTM,Direct_Stats_v1_1,global,24,daylight,MAE,0.04934377211000475,0.047950801309497554,0.0013929708005071956,2.905000046852797,9.321365315043459e-05,0.002769628819511543,0.0176,0.9824,2.4742477649768424,0.013582401394524898,717,0.032502559005867585,True,True,LSTM,,,,,,,,,,,,,,,,,,,,,,,,,
Direct PatchTST vs LSTM,Direct_Stats_v1_1,global,48,daylight,RMSE,0.09322852213390977,0.09085292540219365,0.002375596731716112,2.6147718647469693,0.0007119942172803925,0.0040644305880845315,0.0034,0.9966,2.554693454314395,0.010834186335289195,716,0.032502559005867585,True,True,LSTM,,,,,,,,,,,,,,,,,,,,,,,,,
Direct PatchTST vs LSTM,Direct_Stats_v1_1,global,48,daylight,MAE,0.05570095642932538,0.05590311066158645,-0.00020215423226107448,-0.3616153553329614,-0.001303765406396821,0.0009630089928596405,0.6438,0.3562,0.025098210208722594,0.979983630671634,716,0.979983630671634,False,False,PatchTST,,,,,,,,,,,,,,,,,,,,,,,,,
Direct PatchTST vs LSTM,Direct_Stats_v1_1,location_specific,24,daylight,RMSE,0.08701128201449419,0.08214443704851013,0.004866844965984066,5.924740786901937,0.003066010583854639,0.006633476032470311,0.0,1.0,4.568726929956714,5.7776945494617255e-06,717,2.3110778197846902e-05,True,True,LSTM,,,,,,,,,,,,,,,,,,,,,,,,,
Direct PatchTST vs LSTM,Direct_Stats_v1_1,location_specific,24,daylight,MAE,0.050954008701745344,0.05060524296936787,0.00034876573237747205,0.6891889296699658,-0.0009307393210828356,0.0016848374299622043,0.3156,0.6844,0.9746867410547396,0.33004484763259195,717,0.33004484763259195,False,False,LSTM,,,,,,,,,,,,,,,,,,,,,,,,,
Direct PatchTST vs LSTM,Direct_Stats_v1_1,location_specific,48,daylight,RMSE,0.09454825903345815,0.09269324583307509,0.00185501320038306,2.001238799775796,0.00024029127725252317,0.0034232554404007233,0.013,0.987,2.029414195932784,0.04278602897473472,716,0.11321894398384091,True,False,LSTM,,,,,,,,,,,,,,,,,,,,,,,,,
Direct PatchTST vs LSTM,Direct_Stats_v1_1,location_specific,48,daylight,MAE,0.05717346469899152,0.05864478393100426,-0.001471319232012741,-2.5088663192002754,-0.0027083638745890207,-0.00023982804551627183,0.9906,0.0094,-2.081540638322428,0.037739647994613636,716,0.11321894398384091,True,False,PatchTST,,,,,,,,,,,,,,,,,,,,,,,,,
history_vs_coldstart,LOCO_ZeroShot_Paired,,24,,RMSE,,,,,,,,,,0.4444809113239874,,0.4444809113239874,False,False,,0.08128443913234183,0.08101204426595106,0.0002723948663907738,-0.0004085864191494627,0.0009177145038713401,5000,7,0.7650717564819972,717,7,1,daylight,pooled,pooled,history_minus_cold,cold_start,,,,,,,,,
history_vs_coldstart,LOCO_ZeroShot_Paired,,24,,MAE,,,,,,,,,,0.047867142481991976,,0.047867142481991976,False,False,,0.04923592769112743,0.04959324721726241,-0.00035731952613497764,-0.0007331483024319325,1.2410577350977717e-06,5000,7,-1.9819469442444413,717,7,1,daylight,pooled,pooled,history_minus_cold,history_aware,,,,,,,,,
history_vs_coldstart,LOCO_ZeroShot_Paired,,48,,RMSE,,,,,,,,,,0.3934211373386215,,0.3934211373386215,False,False,,0.09145033662753982,0.09116905317128463,0.0002812834562551936,-0.00038448361721597107,0.0009196096999987787,5000,7,0.853945596961768,716,7,2,daylight,pooled,pooled,history_minus_cold,cold_start,,,,,,,,,
history_vs_coldstart,LOCO_ZeroShot_Paired,,48,,MAE,,,,,,,,,,0.8685987397184504,,0.8685987397184504,False,False,,0.05645175670124708,0.05647443962358261,-2.268292233553043e-05,-0.00038096581726142236,0.0003365692066104337,5000,7,-0.16549808384834827,716,7,2,daylight,pooled,pooled,history_minus_cold,history_aware,,,,,,,,,
LOCO PatchTST history-aware vs LSTM history-aware,LOCO_PatchTST_vs_LSTM_Paired,,24,,RMSE,0.08506531656307223,0.08128443913234183,,,,,,,,3.3105226505798115e-05,,3.3105226505798115e-05,True,True,,,,,0.0022625521435696806,0.005328705866587603,5000,7,4.177553888370992,717,7,1,daylight,pooled,pooled,PatchTST-minus-LSTM; negative_favors_PatchTST,LSTM,0.0037808774307303977,-4.651416028810421,PatchTST_LOCO_history_aware_vs_LSTM_LOCO_history_aware,1.0,,,,,
LOCO PatchTST history-aware vs LSTM history-aware,LOCO_PatchTST_vs_LSTM_Paired,,24,,MAE,0.04925668597013662,0.04923592769112743,,,,,,,,0.5217857515574605,,0.5217857515574605,False,False,,,,,-0.0012221919779569668,0.0013250067458572012,5000,7,0.6409107431259462,717,7,1,daylight,pooled,pooled,PatchTST-minus-LSTM; negative_favors_PatchTST,LSTM,2.0758279009186476e-05,-0.0421608365732636,PatchTST_LOCO_history_aware_vs_LSTM_LOCO_history_aware,1.0,,,,,
LOCO PatchTST history-aware vs LSTM history-aware,LOCO_PatchTST_vs_LSTM_Paired,,48,,RMSE,0.09326833328061239,0.09145033662753982,,,,,,,,0.01634382927831801,,0.01634382927831801,True,True,,,,,0.0003338699163026808,0.003274159222309959,5000,7,2.4068385276002493,716,7,2,daylight,pooled,pooled,PatchTST-minus-LSTM; negative_favors_PatchTST,LSTM,0.0018179966530725705,-1.987960591634487,PatchTST_LOCO_history_aware_vs_LSTM_LOCO_history_aware,1.0,,,,,
LOCO PatchTST history-aware vs LSTM history-aware,LOCO_PatchTST_vs_LSTM_Paired,,48,,MAE,0.0557553278169316,0.05645175670124708,,,,,,,,0.5981837712766456,,0.5981837712766456,False,False,,,,,-0.001847027439472585,0.000506213299481227,5000,7,-0.5272496717780147,716,7,2,daylight,pooled,pooled,PatchTST-minus-LSTM; negative_favors_PatchTST,PatchTST,-0.0006964288843154809,1.233670881140349,PatchTST_LOCO_history_aware_vs_LSTM_LOCO_history_aware,1.0,,,,,
adapted_vs_cold_start_zero_shot,FewShot_Paired,,24,,RMSE,,,,,,,,,,0.9241309508444819,,0.9241309508444819,False,False,,,,,-0.00027660407380631843,0.0005708238925483762,5000,7,0.09526505816546454,717,7,1,daylight,pooled,pooled,adapted_minus_zero; negative_favors_adapted,cold_start_zero_shot,,,,3.0,0.08117209220849768,0.08101204426595106,0.00016004794254662058,-0.1975606763127787,30d
adapted_vs_cold_start_zero_shot,FewShot_Paired,,24,,MAE,,,,,,,,,,0.4619065979037225,,0.4619065979037225,False,False,,,,,-0.00033473993905033686,0.00039491133651668004,5000,7,-0.7361071148697417,717,7,1,daylight,pooled,pooled,adapted_minus_zero; negative_favors_adapted,cold_start_zero_shot,,,,3.0,0.04962725138959605,0.04959324721726241,3.400417233363762e-05,-0.06856613398326022,30d
