model,scope,horizon_h,n_seeds,reference_energy_gwh,predicted_energy_gwh,predicted_energy_gwh_sd,energy_error_pct_mean,energy_error_pct_sd,source_id
Baseline,Historical Climatology,24,0,171.31476483913576,174.28826120706267,,1.7356918247642112,,Baselines_Energy
Baseline,Daily Persistence,24,0,171.31476483913576,171.30031048185307,,-0.008437309706644514,,Baselines_Energy
Baseline,Historical Climatology,48,0,171.31476483913576,174.28826120706267,,1.7356918247642112,,Baselines_Energy
Baseline,Daily Persistence,48,0,171.31476483913576,171.18842093229458,,-0.0737495725834386,,Baselines_Energy
LSTM,Global,24,3,171.3147648391358,170.2644565529663,0.09732565637170103,-0.6130868446486298,0.056811014779188596,LSTM_H24_Global_Energy
LSTM,Global,48,3,171.3147648391358,169.42455933850587,0.17541920846652886,-1.1033523598533939,0.10239584931937543,LSTM_H48_Global_Energy
LSTM,LocationSpecific,24,3,171.3147648391358,170.28074061597275,0.07758802127538078,-0.6035814975632612,0.04528974566099003,LSTM_H24_LocationSpecific_Energy
LSTM,LocationSpecific,48,3,171.3147648391358,169.63547527947426,0.055467369995842196,-0.9802363276967724,0.03237746031285307,LSTM_H48_LocationSpecific_Energy
PatchTST,Global,24,3,171.3147648391358,170.09206037045973,0.0748194242510279,-0.7137180906877312,0.04367365785505012,PatchTST_H24_Global_Summary
PatchTST,Global,48,3,171.3147648391358,169.36041934177635,0.05132995709802955,-1.1407922132073844,0.029962366142946426,PatchTST_H48_Global_Summary
PatchTST,LocationSpecific,24,3,171.3147648391358,170.3685665118618,0.033016082035762756,-0.5523156910394996,0.019272175440782822,PatchTST_H24_LocationSpecific_Summary
PatchTST,LocationSpecific,48,3,171.3147648391358,169.72931979031648,0.007656435137299148,-0.9254573301419823,0.004469220819634888,PatchTST_H48_LocationSpecific_Summary
TCN,Global auxiliary seed 1,24,1,171.31476483913576,170.2437677604738,,-0.6251633241697755,,TCN_H24_Strict_Energy
