branch,model,scope,horizon_h,budget,role,n_seeds,rmse_mean_per_kwp,rmse_sd_per_kwp,mae_mean_per_kwp,mae_sd_per_kwp,r2_mean,r2_sd,bias_mean_per_kwp,bias_sd_per_kwp,reference_kw_rmse_mean,reference_kw_rmse_sd,reference_kw_mae_mean,reference_kw_mae_sd,daylight_rmse_mean_per_kwp,daylight_rmse_sd_per_kwp,daylight_mae_mean_per_kwp,daylight_mae_sd_per_kwp,daylight_r2_mean,daylight_r2_sd,n_test_residuals,n_daylight_residuals,source_id
Direct,Baseline,Historical Climatology,24,,deterministic baseline,0,0.07175502581488838,,0.03151826593393068,,0.9251150549324966,,0.003434131104067953,,241.81443656504374,,106.21655570958185,,0.10131481844532549,,0.0628352875031719,,0.8295203456517254,,6186600,3103207,Baselines_Main
Direct,Baseline,Daily Persistence,24,,deterministic baseline,0,0.0790238927179866,,0.029544766265552403,,0.9091747286668392,,-2.8268627069585328e-05,,266.3105182484568,,99.56586226117433,,0.11157812644678158,,0.05890088897661887,,0.7932313250813243,,6186600,3103207,Baselines_Main
Direct,Baseline,Historical Climatology,48,,deterministic baseline,0,0.07173351097849258,,0.03149911973146944,,0.925147550418405,,0.0034812659143895297,,241.74193156656563,,106.15203300614559,,0.10127222145332097,,0.06278196648436339,,0.8296418347072473,,12355920,6199242,Baselines_Main
Direct,Baseline,Daily Persistence,48,,deterministic baseline,0,0.08570664462878685,,0.033099646555940665,,0.8931459892757491,,-2.310361934023117e-06,,288.8313921831889,,111.54580887060241,,0.12099926765706434,,0.0659720309149858,,0.7568088509740443,,12355920,6199242,Baselines_Main
Direct,LSTM,Global,24,,fully repeated,3,0.056731852303607534,0.00043847903219587295,0.024052187353189435,0.0005713742358514425,0.9531875805274934,0.0007219999713497428,-0.0012259711924557666,0.00011490359679729246,191.1863422164669,1.4776743454966468,81.05587130858187,1.9255311723037993,0.08010278375531456,0.000619112362297982,0.047950801309497505,0.001139100242915889,0.8934289784991433,0.0016436722420536795,6186600.0,3103207.0,LSTM_H24_Global_Summary
Direct,LSTM,Global,48,,fully repeated,3,0.06435322553774434,9.969672859844949e-05,0.02804784358784727,0.0003717335555591264,0.939757473684125,0.0001867037728805879,-0.0021149802896872996,0.0001990205461256948,216.87036997997095,0.33597798076103713,94.52123281427906,1.2527420897346513,0.09085285271827791,0.00014075024405005906,0.0559031106615864,0.0007409147882603138,0.8628928470191805,0.00042492279650106307,12355920.0,6199242.0,LSTM_H48_Global_Summary
Direct,LSTM,LocationSpecific,24,,fully repeated,3,0.058177787199592705,8.55983128648324e-05,0.025383658911072766,1.8778783672913376e-05,0.950772827698302,0.0001449194519318784,-0.0012050253129176334,8.936443391163089e-05,196.0591428069093,0.28846631813531864,85.54293047017143,0.06328450515704975,0.08214437777338963,0.00012086090735301518,0.0506052429693678,3.743766467094762e-05,0.8879316622190024,0.0003299170220584224,6186600.0,3103207.0,LSTM_H24_LocationSpecific_Summary
Direct,LSTM,LocationSpecific,48,,fully repeated,3,0.06565678980041284,7.652652032630776e-05,0.0294234025168507,0.00012553974181140907,0.9372922057803702,0.00014622563644090276,-0.0018693726213097669,5.8376352134130846e-05,221.26338156688976,0.2578943844913392,99.15686642738144,0.4230689292954918,0.09269320385802876,0.00010803891525483985,0.05864478393100417,0.00025021752766582966,0.8572820952082996,0.00033279780798214193,12355920.0,6199242.0,LSTM_H48_LocationSpecific_Summary
Direct,PatchTST,Global,24,,fully repeated official S-mode,3,0.06024123384907304,0.00020799230428854152,0.024750903407068748,0.00017726847128057474,0.9472185844087885,0.0003648148979899868,-0.0014130833867185043,8.773857670262273e-05,203.01295807137615,0.700934065452375,83.41054448182167,0.597394748215544,0.08505787017743442,0.00029367563188370744,0.049343772110004756,0.00035340508204074214,0.879840233869556,0.0008305209766044664,,,PatchTST_H24_Global_Summary
Direct,PatchTST,Global,48,,fully repeated official S-mode,3,0.06603593622168476,7.984602492225284e-05,0.0279464182785939,4.2413761464955437e-05,0.9365658764192405,0.0001533688790948723,-0.002167751010486415,6.244911646576188e-05,222.5411050670776,0.2690811039879885,94.17942959886142,0.1429343761369006,0.09322847670072838,0.00011272533865682634,0.05570095642932538,8.453631001339673e-05,0.8556290278998553,0.0003490552547265216,,,PatchTST_H48_Global_Summary
