scope,lookback,horizon,n_seeds,per_kwp_rmse_mean,per_kwp_rmse_sd,per_kwp_mae_mean,per_kwp_mae_sd,per_kwp_r2_mean,per_kwp_r2_sd,bias_per_kwp_mean,bias_per_kwp_sd,reference_kw_rmse_mean,reference_kw_rmse_sd,reference_kw_mae_mean,reference_kw_mae_sd,daylight_per_kwp_rmse_mean,daylight_per_kwp_rmse_sd,daylight_per_kwp_mae_mean,daylight_per_kwp_mae_sd,daylight_per_kwp_r2_mean,daylight_per_kwp_r2_sd,daylight_bias_per_kwp_mean,daylight_bias_per_kwp_sd
Anbar,168,48,3,0.06862614472654104,4.7387840191641865e-05,0.03032253341948821,4.093223041036091e-05,0.932350041663753,9.343097073530656e-05,4.124968290917991e-05,5.312535638657192e-06,231.27010772844326,0.1596970214458285,102.18693762367529,0.13794161648291822,0.09698460722335699,6.696997312704657e-05,0.06056084166966672,8.175076570201909e-05,0.8474828098490166,0.00021064061944872284,8.238478892998002e-05,1.0610314950478514e-05
Babylon,168,48,3,0.06305820784354396,8.934181550382827e-05,0.027805288928202165,1.9136745603100393e-05,0.9400214012898792,0.00017000972965765249,2.5821661618130002e-05,3.0571366097593244e-06,212.50616043274317,0.30108191824790714,93.70382368804128,0.06449083268245089,0.08914699945034715,0.00012630480709781763,0.05557220448768338,3.824708107260534e-05,0.8629269248068893,0.0003885345266159035,5.1607687420900614e-05,6.110054143404764e-06
Baghdad,168,48,3,0.06582781588496012,2.997393856022928e-05,0.029093830220946804,6.774120320697314e-05,0.934423112548879,5.971686311524282e-05,2.484700911653465e-05,3.702712245151763e-06,221.83973953231558,0.10101217294796856,98.04620784459074,0.22828785480749264,0.09286614221409105,4.2285529356085224e-05,0.057902433713412894,0.00013481829303913913,0.8532577708727609,0.00013362917867286916,4.945042599825461e-05,7.369124268154378e-06
Basra,168,48,3,0.06554071394337158,6.636723140963056e-05,0.02819119183310771,2.1988817081147788e-05,0.9343847927863494,0.00013292110723292313,3.222005825014821e-05,3.880041552565199e-06,220.8722059891622,0.22365756985046575,95.00431647757297,0.07410231356346879,0.09244054096032961,9.360628538233788e-05,0.056081039843748716,4.374258932169831e-05,0.8495054853569949,0.00030486678878724124,6.409570695668157e-05,7.718608216104725e-06
Dhi_Qar,168,48,3,0.0633387756936969,4.25398586370819e-05,0.02728581178895675,1.3370401589879104e-05,0.9390841377055467,8.183479208817965e-05,3.5165051819689523e-05,2.947909995287009e-06,213.45167408775856,0.14335932360695966,91.95318572878425,0.045058253357888114,0.08943874613339314,6.006923208605839e-05,0.05440627025416541,2.6659777906995418e-05,0.8592011054300501,0.0001891502119379301,7.011700174440403e-05,5.87795551508767e-06
Diyala,168,48,3,0.06596856741195455,2.2420487315526208e-05,0.029203167245108807,6.909012773877877e-05,0.9341365524792664,4.47680980739599e-05,1.849958332969874e-05,3.068373321778768e-06,222.3140721782868,0.07555704225332488,98.41467361601669,0.23283373047968275,0.09299565709999989,3.1606081990366375e-05,0.05803382351474803,0.00013729895275229543,0.8529752973282442,9.993428155163258e-05,3.67631889048585e-05,6.097606959508638e-06
Karbala,168,48,3,0.06024573861298721,3.639210623425783e-05,0.02662790554623055,4.9944160453957624e-05,0.945857501697395,6.541920357617723e-05,1.8507565235051626e-05,1.623713255238748e-06,203.0281391257669,0.12264139800944639,89.73604169079697,0.1683118207298419,0.08521070025778858,5.147246805284585e-05,0.05326876278635598,9.991261352367474e-05,0.8747385620155624,0.00015135067218274628,3.7024132466871175e-05,3.2482162773263556e-06
Kirkuk,168,48,3,0.08123594722365067,7.792355405111441e-05,0.03703468604785705,9.55319300884274e-05,0.9043120148827607,0.00018352334863050456,2.1194110372321648e-05,2.7296930942226935e-06,273.7651421437027,0.26260237715225154,124.80689198127824,0.321942604398002,0.11445831644554127,0.00010979128222126405,0.07352023339729236,0.00018964734270783448,0.7950046385301329,0.0003931678062252921,4.2073961129507804e-05,5.418911156176576e-06
Maysan,168,48,3,0.07251644120705893,0.0001557287722024529,0.03181400521961305,8.175266983090442e-05,0.9252837746346585,0.0003209631390525608,2.5681233496502353e-05,2.717569058954209e-06,244.3804068677886,0.5248059623222616,107.21319759009596,0.275506497330151,0.10226150618314223,0.00021960618221738626,0.06326590906515397,0.0001625748452498118,0.831684651519331,0.0007230427170929191,5.107016774074904e-05,5.404207228082055e-06
Muthanna,168,48,3,0.06369403932273286,6.82425441557737e-05,0.02752209440927689,4.6313518034797366e-05,0.9354002608783629,0.00013846720992053994,2.7537224745751446e-05,3.5433273959809806e-06,214.64891251760977,0.22997737380495023,92.74945815926314,0.1560765557772708,0.08990641161545164,9.632678865704772e-05,0.05483593152671757,9.227658571149922e-05,0.8542697038101633,0.0003123676316448029,5.486607770972809e-05,7.0598427421011315e-06
Najaf,168,48,3,0.058159627931572346,5.2721854879366304e-05,0.025125889457179928,3.811601505428774e-05,0.9476423174084418,9.491830063498568e-05,2.2266242753460488e-05,1.490315180565027e-06,195.9979461293988,0.17767265094347529,84.67424747069636,0.12845097073294523,0.08225053457001759,7.45603247746372e-05,0.05025226764505606,7.623277151382968e-05,0.879131031980979,0.0002191211771798253,4.453291861383014e-05,2.980659349667037e-06
Nineveh,168,48,3,0.07071102313276667,5.363313655100089e-05,0.031504308580855574,9.421669711153975e-06,0.9242666892230306,0.00011485976334190408,2.272211524100499e-05,2.300929279511229e-06,238.2961479574237,0.18074367017686715,106.16951991748329,0.03175102692659062,0.09988446930900337,7.576071091087537e-05,0.0628624992363888,1.8799641436442912e-05,0.8315744104598034,0.0002554400851730842,4.533884463202599e-05,4.591186780215667e-06
Qadisiyyah,168,48,3,0.0580013313945054,5.470672809488202e-05,0.025088492825362674,3.6568769333716734e-05,0.9476138995280422,9.880904606389747e-05,1.8914712886443252e-05,1.1486906915451941e-06,195.46448679948318,0.1843616736797519,84.54822082147223,0.12323675265462908,0.081902500038374,7.725025774693734e-05,0.05002567576409958,7.29169906902976e-05,0.8796690191656591,0.0002269645826098242,3.771535024502086e-05,2.2904535752098733e-06
Salah_al_Din,168,48,3,0.07138423908069004,5.995721575362722e-05,0.0319136983908495,3.7071078318267254e-05,0.9245212288355358,0.0001268177715678015,3.1144175161200796e-05,2.998378583233049e-06,240.56488570192542,0.202055817089725,107.5491635771628,0.12492953393256401,0.1007001992633253,8.458034506523159e-05,0.06350868598083816,7.377194090926369e-05,0.8331431598876335,0.00028034919365333723,6.197732447744274e-05,5.9668134216878285e-06
Wasit,168,48,3,0.06724475123756628,7.001658049565963e-05,0.02955368103236003,1.980800480904805e-05,0.9318579332635498,0.00014190209201562603,2.235576695801892e-05,3.051621879688053e-06,226.61481167059836,0.23595587627037695,99.5959050790533,0.0667529762064888,0.09478919312129554,9.869640452455274e-05,0.05872357027671793,3.935877771611845e-05,0.8472595512060402,0.0003180735521729946,4.442121611218856e-05,6.063614604001871e-06
